Buckner;38,3867;-85,4503
Bucyrus;40,8054;-82,9719
Buda;30,0856;-97,8472
Budd Lake;40,8733;-74,7374
Buellton;34,6152;-120,1943
Buena Park;33,8572;-118,0046
Buena Vista;39,515;-74,8883
Buenaventura Lakes;28,3349;-81,3539
Buffalo;42,9016;-78,8487
Buffalo Grove;42,1673;-87,9616
Buffalo Township;40,706;-79,7387
Buford;34,1185;-83,9916
Bull Mountain;45,4126;-122,8322
Bull Run;38,7802;-77,5204
Bullhead City;35,1205;-114,546
Bullskin;40,0803;-79,5124
Bulverde;29,7744;-98,4364
Burbank;34,1879;-118,3235
Burien;47,4762;-122,3394
Burkburnett;34,0746;-98,5672
Burke;38,7773;-77,2633
Burke Centre;38,7903;-77,2999
Burleson;32,517;-97,3343
Burley;42,5379;-113,793
Burlingame;37,586;-122,3669
Burlington;36,0758;-79,4686
Burnet;30,7496;-98,2383
Burnsville;44,7648;-93,2795
Burr Ridge;41,7485;-87,9198
Burrillville;41,9706;-71,6984
Burton;42,9974;-83,6175
Burtonsville;39,1166;-76,9356
Bushkill;40,7976;-75,3281
Busti;42,0459;-79,312
Butler;40,8616;-79,8962
Butler Township;41,0362;-75,9801
Butner;36,1285;-78,7502
Butte;45,902;-112,6571
Buxton;43,6428;-70,5376
Byram;32,189;-90,2861
Byron;42,1224;-89,2665
Byron Center;42,8121;-85,7279
Cabo Rojo;18,0867;-67,1482
Cabot;34,9768;-92,0274
Cadillac;44,2494;-85,4163
Caguas;18,2319;-66,0388
Cahokia;38,5649;-90,1792
Cairo;30,8791;-84,205
Calabasas;34,1375;-118,6689
Caldwell;40,839;-74,2776
Caledonia;42,7986;-87,8762
Calera;33,1249;-86,745
Calexico;32,6849;-115,4944
Calhoun;34,4918;-84,9391
California;38,2969;-76,4949
California City;35,1578;-117,8721
Calimesa;33,9874;-117,0542
Calipatria;33,1493;-115,5056
Calistoga;38,5818;-122,5824
Callaway;30,1348;-85,5568
Caln;40,0014;-75,7618
Calumet City;41,6134;-87,5505
Calumet Park;41,665;-87,6578
Calverton;39,0578;-76,9488
Camano;48,1865;-122,4708
Camarillo;34,223;-119,0322
Camas;45,6005;-122,4305
Cambria;40,4931;-78,7448
Cambridge;42,3759;-71,1185
Camden;39,9362;-75,1073
Cameron;39,7469;-94,2364
Cameron Park;25,9705;-97,4775
Camilla;31,2337;-84,2089
Camillus;43,0539;-76,3057
Camp Hill;40,2423;-76,9274
Camp Pendleton North;33,3148;-117,3162
Camp Pendleton South;33,2284;-117,3791
Camp Springs;38,8052;-76,9198
Camp Swift;30,1885;-97,2933
Camp Verde;34,5699;-111,8573
Campanilla;18,4229;-66,2382
Campbell;37,2802;-121,9538
Campbellsville;37,3446;-85,3511
Campton Hills;41,9499;-88,4166
Canal Fulton;40,8895;-81,5882
